start_time,away_team,home_team,away_team_score,home_team_score
2025-01-14 00:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.TORONTO_RAPTORS,101.0,104.0
2025-01-14 01:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.HOUSTON_ROCKETS,118.0,120.0
2025-01-14 03:30:00+00:00,Team.MIAMI_HEAT,Team.LOS_ANGELES_CLIPPERS,98.0,109.0
2025-01-14 03:30:00+00:00,Team.SAN_ANTONIO_SPURS,Team.LOS_ANGELES_LAKERS,126.0,102.0
2025-01-15 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.INDIANA_PACERS,127.0,117.0
2025-01-15 00:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.PHILADELPHIA_76ERS,118.0,102.0
2025-01-15 00:30:00+00:00,Team.PHOENIX_SUNS,Team.ATLANTA_HAWKS,117.0,122.0
2025-01-15 01:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.CHICAGO_BULLS,119.0,113.0
2025-01-15 01:00:00+00:00,Team.SACRAMENTO_KINGS,Team.MILWAUKEE_BUCKS,115.0,130.0
2025-01-15 02:30:00+00:00,Team.DENVER_NUGGETS,Team.DALLAS_MAVERICKS,118.0,99.0
2025-01-15 03:00:00+00:00,Team.BROOKLYN_NETS,Team.PORTLAND_TRAIL_BLAZERS,132.0,114.0
2025-01-16 00:00:00+00:00,Team.NEW_YORK_KNICKS,Team.PHILADELPHIA_76ERS,125.0,119.0
2025-01-16 00:30:00+00:00,Team.BOSTON_CELTICS,Team.TORONTO_RAPTORS,97.0,110.0
2025-01-16 01:00:00+00:00,Team.ATLANTA_HAWKS,Team.CHICAGO_BULLS,110.0,94.0
2025-01-16 01:00:00+00:00,Team.ORLANDO_MAGIC,Team.MILWAUKEE_BUCKS,93.0,122.0
2025-01-16 01:00:00+00:00,Team.DALLAS_MAVERICKS,Team.NEW_ORLEANS_PELICANS,116.0,119.0
2025-01-16 01:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.SAN_ANTONIO_SPURS,129.0,115.0
2025-01-16 02:00:00+00:00,Team.HOUSTON_ROCKETS,Team.DENVER_NUGGETS,128.0,108.0
2025-01-16 02:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.UTAH_JAZZ,117.0,112.0
2025-01-16 02:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.MINNESOTA_TIMBERWOLVES,116.0,115.0
2025-01-16 03:00:00+00:00,Team.MIAMI_HEAT,Team.LOS_ANGELES_LAKERS,108.0,117.0
2025-01-16 03:30:00+00:00,Team.BROOKLYN_NETS,Team.LOS_ANGELES_CLIPPERS,67.0,126.0
2025-01-17 00:00:00+00:00,Team.INDIANA_PACERS,Team.DETROIT_PISTONS,111.0,100.0
2025-01-17 00:00:00+00:00,Team.PHOENIX_SUNS,Team.WASHINGTON_WIZARDS,130.0,123.0
2025-01-17 00:30:00+00:00,Team.CLEVELAND_CAVALIERS,Team.OKLAHOMA_CITY_THUNDER,114.0,134.0
2025-01-17 03:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.PORTLAND_TRAIL_BLAZERS,118.0,89.0
2025-01-17 03:00:00+00:00,Team.HOUSTON_ROCKETS,Team.SACRAMENTO_KINGS,127.0,132.0
2025-01-18 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.BOSTON_CELTICS,94.0,121.0
2025-01-18 00:30:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.NEW_YORK_KNICKS,116.0,99.0
2025-01-18 01:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.CHICAGO_BULLS,125.0,123.0
2025-01-18 01:00:00+00:00,Team.DENVER_NUGGETS,Team.MIAMI_HEAT,133.0,113.0
2025-01-18 01:00:00+00:00,Team.TORONTO_RAPTORS,Team.MILWAUKEE_BUCKS,112.0,130.0
2025-01-18 01:00:00+00:00,Team.UTAH_JAZZ,Team.NEW_ORLEANS_PELICANS,123.0,136.0
2025-01-18 01:30:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.DALLAS_MAVERICKS,98.0,106.0
2025-01-18 02:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.SAN_ANTONIO_SPURS,140.0,112.0
2025-01-18 03:30:00+00:00,Team.BROOKLYN_NETS,Team.LOS_ANGELES_LAKERS,101.0,102.0
2025-01-18 21:00:00+00:00,Team.PHOENIX_SUNS,Team.DETROIT_PISTONS,125.0,121.0
2025-01-19 00:00:00+00:00,Team.ATLANTA_HAWKS,Team.BOSTON_CELTICS,119.0,115.0
2025-01-19 00:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.INDIANA_PACERS,102.0,115.0
2025-01-19 01:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.GOLDEN_STATE_WARRIORS,114.0,122.0
2025-01-19 02:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.MINNESOTA_TIMBERWOLVES,124.0,117.0
2025-01-19 03:00:00+00:00,Team.HOUSTON_ROCKETS,Team.PORTLAND_TRAIL_BLAZERS,125.0,103.0
2025-01-19 20:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.MIAMI_HEAT,107.0,128.0
2025-01-19 23:00:00+00:00,Team.DENVER_NUGGETS,Team.ORLANDO_MAGIC,113.0,100.0
2025-01-20 00:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.MILWAUKEE_BUCKS,109.0,123.0
2025-01-20 00:00:00+00:00,Team.BROOKLYN_NETS,Team.OKLAHOMA_CITY_THUNDER,101.0,127.0
2025-01-20 02:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.LOS_ANGELES_CLIPPERS,102.0,116.0
2025-01-20 02:00:00+00:00,Team.CHICAGO_BULLS,Team.PORTLAND_TRAIL_BLAZERS,102.0,113.0
2025-01-20 02:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.SACRAMENTO_KINGS,100.0,123.0
2025-01-20 17:00:00+00:00,Team.DALLAS_MAVERICKS,Team.CHARLOTTE_HORNETS,105.0,110.0
2025-01-20 19:00:00+00:00,Team.DETROIT_PISTONS,Team.HOUSTON_ROCKETS,107.0,96.0
2025-01-20 19:30:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.MEMPHIS_GRIZZLIES,106.0,108.0
2025-01-20 20:00:00+00:00,Team.ATLANTA_HAWKS,Team.NEW_YORK_KNICKS,110.0,119.0
2025-01-20 20:30:00+00:00,Team.PHOENIX_SUNS,Team.CLEVELAND_CAVALIERS,92.0,118.0
2025-01-20 22:00:00+00:00,Team.BOSTON_CELTICS,Team.GOLDEN_STATE_WARRIORS,125.0,85.0
2025-01-21 01:00:00+00:00,Team.UTAH_JAZZ,Team.NEW_ORLEANS_PELICANS,119.0,123.0
2025-01-21 03:30:00+00:00,Team.CHICAGO_BULLS,Team.LOS_ANGELES_CLIPPERS,112.0,99.0
2025-01-22 00:30:00+00:00,Team.NEW_YORK_KNICKS,Team.BROOKLYN_NETS,99.0,95.0
2025-01-22 00:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.MIAMI_HEAT,116.0,107.0
2025-01-22 00:30:00+00:00,Team.ORLANDO_MAGIC,Team.TORONTO_RAPTORS,93.0,109.0
2025-01-22 03:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.DENVER_NUGGETS,109.0,144.0
2025-01-22 03:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.LOS_ANGELES_LAKERS,88.0,111.0
2025-01-23 00:30:00+00:00,Team.DETROIT_PISTONS,Team.ATLANTA_HAWKS,114.0,104.0
2025-01-23 00:30:00+00:00,Team.PHOENIX_SUNS,Team.BROOKLYN_NETS,108.0,84.0
2025-01-23 00:30:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.DALLAS_MAVERICKS,115.0,114.0
2025-01-23 01:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.HOUSTON_ROCKETS,108.0,109.0
2025-01-23 01:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.MEMPHIS_GRIZZLIES,120.0,132.0
2025-01-23 01:00:00+00:00,Team.UTAH_JAZZ,Team.OKLAHOMA_CITY_THUNDER,114.0,123.0
2025-01-23 03:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.SACRAMENTO_KINGS,117.0,123.0
2025-01-23 03:30:00+00:00,Team.BOSTON_CELTICS,Team.LOS_ANGELES_CLIPPERS,117.0,113.0
2025-01-23 19:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.INDIANA_PACERS,140.0,110.0
